VOL_LOOKBACK Hyperopt — Live-Compatible Harness
=================================================
Harness: Turtle-only + ATR_rank(17,42,5.0) + USDT hedge
Range: VL ∈ [1..=200 step 1] = 200 values
Scope: 9 universes × 7 windows = 63 OOS windows
Baseline: VL=8
Winner:   VL=92
Runner1:  VL=93
Runner2:  VL=95

    VL |   Pass% | AvgSharpe |  AvgRet% | Pass | AvgDD |  +Uni
   110 |   82.5 |    3.425 |     71.2 |   52 |  28.7 |     9
   101 |   82.5 |    3.425 |     75.9 |   52 |  28.8 |     8
    52 |   82.5 |    3.421 |     66.4 |   52 |  29.5 |     9
   136 |   82.5 |    3.415 |     71.7 |   52 |  28.4 |     8
    71 |   82.5 |    3.411 |     71.8 |   52 |  29.4 |     9
   135 |   82.5 |    3.406 |     71.6 |   52 |  28.4 |     8
   133 |   82.5 |    3.406 |     71.6 |   52 |  28.4 |     8
   106 |   82.5 |    3.401 |     71.4 |   52 |  28.7 |     8
   134 |   82.5 |    3.396 |     71.6 |   52 |  28.4 |     8
    67 |   82.5 |    3.394 |     70.0 |   52 |  29.5 |     9
    66 |   82.5 |    3.388 |     70.5 |   52 |  29.5 |     9
    69 |   82.5 |    3.387 |     71.6 |   52 |  29.5 |     9
    70 |   82.5 |    3.387 |     71.6 |   52 |  29.5 |     9
   105 |   82.5 |    3.383 |     71.2 |   52 |  28.8 |     8
   103 |   82.5 |    3.375 |     71.2 |   52 |  28.9 |     8
   104 |   82.5 |    3.375 |     71.2 |   52 |  28.9 |     8
    65 |   82.5 |    3.362 |     70.1 |   52 |  29.7 |     9
    58 |   82.5 |    3.353 |     72.1 |   52 |  29.8 |     9
    51 |   82.5 |    3.322 |     64.6 |   52 |  29.6 |     9
    48 |   82.5 |    3.301 |     64.1 |   52 |  29.4 |     9
    49 |   82.5 |    3.301 |     64.1 |   52 |  29.4 |     9
    50 |   82.5 |    3.301 |     64.1 |   52 |  29.4 |     9
    45 |   82.5 |    3.286 |     63.6 |   52 |  29.6 |     9
    46 |   82.5 |    3.286 |     63.6 |   52 |  29.6 |     9
    47 |   82.5 |    3.286 |     63.6 |   52 |  29.6 |     9
    44 |   82.5 |    3.258 |     64.5 |   52 |  29.7 |     9
    43 |   82.5 |    3.231 |     64.1 |   52 |  29.9 |     9
     9 |   82.5 |    3.225 |     82.4 |   52 |  30.9 |     9
    56 |   82.5 |    3.203 |     63.3 |   52 |  29.9 |     9
    57 |   82.5 |    3.203 |     63.3 |   52 |  29.9 |     9
    38 |   82.5 |    3.131 |     58.5 |   52 |  30.0 |     9
     7 |   82.5 |    3.036 |     79.8 |   52 |  30.9 |     9
    34 |   82.5 |    2.930 |     59.9 |   52 |  30.4 |     9
    16 |   82.5 |    2.887 |     58.0 |   52 |  30.3 |     9
    36 |   82.5 |    2.859 |     57.0 |   52 |  30.6 |     9
    53 |   81.0 |    3.371 |     66.0 |   51 |  29.7 |     9
    64 |   81.0 |    3.346 |     70.0 |   51 |  29.8 |     9
    68 |   81.0 |    3.338 |     69.2 |   51 |  29.7 |     9
    63 |   81.0 |    3.317 |     69.9 |   51 |  29.9 |     9
    54 |   81.0 |    3.304 |     64.1 |   51 |  29.7 |     9
    60 |   81.0 |    3.292 |     70.1 |   51 |  29.7 |     9
    55 |   81.0 |    3.283 |     63.5 |   51 |  29.9 |     9
    62 |   81.0 |    3.273 |     68.8 |   51 |  29.9 |     9
    61 |   81.0 |    3.248 |     68.6 |   51 |  29.9 |     9
    42 |   81.0 |    3.210 |     63.2 |   51 |  30.0 |     8
     6 |   81.0 |    3.190 |     86.2 |   51 |  30.9 |     9
    41 |   81.0 |    3.131 |     59.3 |   51 |  30.2 |     8
    39 |   81.0 |    3.121 |     58.3 |   51 |  30.0 |     8
    37 |   81.0 |    3.117 |     58.8 |   51 |  30.2 |     9
    40 |   81.0 |    3.097 |     57.9 |   51 |  30.2 |     8
    29 |   81.0 |    2.935 |     57.9 |   51 |  30.6 |     9
    35 |   81.0 |    2.846 |     57.4 |   51 |  30.8 |     9
    18 |   81.0 |    2.842 |     56.9 |   51 |  30.1 |     8
     8 |   79.4 |    2.973 |     80.6 |   50 |  30.9 |     9
    33 |   79.4 |    2.926 |     59.6 |   50 |  30.3 |     8
    31 |   79.4 |    2.911 |     59.7 |   50 |  30.4 |     8
    32 |   79.4 |    2.906 |     59.4 |   50 |  30.3 |     8
    28 |   79.4 |    2.874 |     56.4 |   50 |  30.9 |     8
    30 |   79.4 |    2.871 |     59.5 |   50 |  30.7 |     8
    13 |   79.4 |    2.829 |     79.4 |   50 |  31.0 |     8
    17 |   79.4 |    2.822 |     56.0 |   50 |  30.2 |     8
    25 |   79.4 |    2.782 |     55.0 |   50 |  30.9 |     8
    22 |   79.4 |    2.780 |     56.5 |   50 |  30.4 |     8
    26 |   79.4 |    2.769 |     54.8 |   50 |  31.0 |     8
    12 |   79.4 |    2.761 |     75.0 |   50 |  30.9 |     8
    23 |   79.4 |    2.733 |     54.4 |   50 |  30.5 |     8
    24 |   79.4 |    2.720 |     54.6 |   50 |  31.3 |     8
    15 |   79.4 |    2.644 |     54.0 |   50 |  30.9 |     8
    20 |   77.8 |    2.800 |     56.6 |   49 |  30.5 |     8
    27 |   77.8 |    2.798 |     55.0 |   49 |  31.2 |     8
    21 |   77.8 |    2.788 |     56.5 |   49 |  30.5 |     8
    19 |   77.8 |    2.738 |     56.2 |   49 |  30.7 |     8
    14 |   77.8 |    2.682 |     68.8 |   49 |  30.9 |     8
     3 |   74.6 |    3.248 |     72.0 |   47 |  31.7 |     8
